doc_id,arxiv_id,title,abstract,authors,published,updated,primary_category,domain,topic_id,topic,source_url,query
D0011,2203.11171v4,Self-Consistency Improves Chain of Thought Reasoning in Language Models,"Chain-of-thought prompting combined with pre-trained large language models has achieved encouraging results on complex reasoning tasks. In this paper, we propose a new decoding strategy, self-consistency, to replace the naive greedy decoding used in chain-of-thought prompting. It first samples a diverse set of reasoning paths instead of only taking the greedy one, and then selects the most consistent answer by marginalizing out the sampled reasoning paths. Self-consistency leverages the intuition that a complex reasoning problem typically admits multiple different ways of thinking leading to its unique correct answer. Our extensive empirical evaluation shows that self-consistency boosts the performance of chain-of-thought prompting with a striking margin on a range of popular arithmetic and commonsense reasoning benchmarks, including GSM8K (+17.9%), SVAMP (+11.0%), AQuA (+12.2%), StrategyQA (+6.4%) and ARC-challenge (+3.9%).",Xuezhi Wang; Jason Wei; Dale Schuurmans; Quoc Le; Ed Chi; Sharan Narang; Aakanksha Chowdhery; Denny Zhou,2022-03-21T17:48:52Z,2023-03-07T17:57:37Z,cs.CL,LLMs_RAG,T002,Reasoning consistency in chain-of-thought prompting,http://arxiv.org/abs/2203.11171v4,all:reasoning AND all:consistency AND all:chain AND all:thought AND all:prompting
D0012,2404.14812v2,Enhancing Chain of Thought Prompting in Large Language Models via Reasoning Patterns,"Chain of Thought (CoT) prompting can encourage language models to engage in multi-step logical reasoning. The quality of the provided demonstrations significantly influences the success of downstream inference tasks. Current unsupervised CoT methods primarily select examples based on the semantics of the questions, which can introduce noise and lack interpretability. In this paper, we propose leveraging reasoning patterns to enhance CoT prompting effectiveness. Reasoning patterns represent the process by which language models arrive at their final results. By utilizing prior knowledge and prompt-based methods from large models, we first construct task-specific pattern sets. We then select diverse demonstrations based on different reasoning patterns. This approach not only mitigates the impact of noise but also provides explicit interpretability to help us understand the mechanisms of CoT. Extensive experiments demonstrate that our method is more robust and consistently leads to improvements across various reasoning tasks.",Yufeng Zhang; Xuepeng Wang; Lingxiang Wu; Jinqiao Wang,2024-04-23T07:50:00Z,2025-03-13T03:03:57Z,cs.CL,LLMs_RAG,T002,Reasoning consistency in chain-of-thought prompting,http://arxiv.org/abs/2404.14812v2,all:reasoning AND all:consistency AND all:chain AND all:thought AND all:prompting
D0013,2604.00130v1,Hierarchical Chain-of-Thought Prompting: Enhancing LLM Reasoning Performance and Efficiency,"Chain-of-Thought (CoT) prompting has significantly improved the reasoning capabilities of large language models (LLMs). However, conventional CoT often relies on unstructured, flat reasoning chains that suffer from redundancy and suboptimal performance. In this work, we introduce Hierarchical Chain-of-Thought (Hi-CoT) prompting, a structured reasoning paradigm specifically designed to address the challenges of complex, multi-step reasoning. Hi-CoT decomposes the reasoning process into hierarchical substeps by alternating between instructional planning and step-by-step execution. This decomposition enables LLMs to better manage long reasoning horizons and maintain logical coherence. Extensive evaluations across diverse LLMs and mathematical reasoning benchmarks show that Hi-CoT consistently improves average accuracy by 6.2% (up to 61.4% on certain models and tasks) while reducing reasoning trace length by 13.9% compared to CoT prompting. We further show that accuracy and efficiency are maximized when models strictly adhere to the hierarchical structure. Our code is available at https://github.com/XingshuaiHuang/Hi-CoT.",Xingshuai Huang; Derek Li; Bahareh Nikpour; Parsa Omidi,2026-03-31T18:35:22Z,2026-03-31T18:35:22Z,cs.CL,LLMs_RAG,T002,Reasoning consistency in chain-of-thought prompting,http://arxiv.org/abs/2604.00130v1,all:reasoning AND all:consistency AND all:chain AND all:thought AND all:prompting
D0014,2310.14799v1,Cross-lingual Prompting: Improving Zero-shot Chain-of-Thought Reasoning across Languages,"Chain-of-thought (CoT) is capable of eliciting models to explicitly generate reasoning paths, thus promoting reasoning accuracy and attracting increasing attention. Specifically, zero-shot CoT achieves remarkable improvements in a wide range of reasoning tasks by simply instructing the LLM with the prompt ""Let's think step by step!"". Despite the success of zero-shot CoT, the existing zero-shot prompting techniques remain limited to a single language, making it challenging to generalize to other languages and hindering global development. In this work, we introduce cross-lingual prompting (CLP), aiming to improve zero-shot CoT reasoning across languages. Specifically, CLP consists of two main components: (1) cross-lingual alignment prompting and (2) task-specific solver prompting. The cross-lingual alignment prompting is responsible for aligning representations across different languages, whereas the task-specific solver prompting is used to generate the final chain of thoughts and results for the reasoning task. In addition, we further introduce cross-lingual self-consistent prompting (CLSP) to ensemble different reasoning paths across languages. Our experimental evaluations on several benchmarks demonstrate that CLP and CLSP significantly outperform the existing prompting methods and achieve state-of-the-art performance. We hope this work will inspire further breakthroughs in cross-lingual CoT.",Libo Qin; Qiguang Chen; Fuxuan Wei; Shijue Huang; Wanxiang Che,2023-10-23T10:56:03Z,2023-10-23T10:56:03Z,cs.CL,LLMs_RAG,T002,Reasoning consistency in chain-of-thought prompting,http://arxiv.org/abs/2310.14799v1,all:reasoning AND all:consistency AND all:chain AND all:thought AND all:prompting
D0015,2604.23270v1,CAP-CoT: Cycle Adversarial Prompt for Improving Chain of Thoughts in LLM Reasoning,"Chain-of-Thought (CoT) prompting has emerged as a simple and effective way to elicit step-by-step solutions from large language models (LLMs). However, CoT reasoning can be unstable across runs on long, multi-step problems, leading to inconsistent answers for unchanged task. Most prior work focuses on improving the forward reasoning chain within a single pass, with less attention to iterative and contrastive correction. To address this gap, we propose CAP-CoT, a Cycle Adversarial Prompt optimization framework designed to improve both CoT reasoning accuracy and stability of a single deployed solver. In each cycle, a forward solver generates candidate reasoning chains, an adversarial challenger constructs plausible but deliberately flawed chains using targeted error strategies, and a feedback agent contrasts the two chains and produces step-aligned structured feedback. This feedback closes the optimization loop in two directions, including updating the solver prompt based on errors exposed by the challenger, and updating the challenger prompt to generate increasingly targeted errors in subsequent cycles. Unlike safety-oriented adversarial prompting such as jailbreak or prompt-injection attacks, our adversarial component is task-semantic and aims to expose logical vulnerabilities in reasoning chains. Experiments across six benchmarks and four LLM backbones demonstrate that within two to three adversarial prompt optimization cycles, CAP-CoT consistently reduces variability across runs while improving reasoning accuracy and robustness to prompt perturbations.",Shuxu Chen; Yitian Zhou; Jiaquan Zhang; Haoyu Bian; Aming Wu; Sungyoung Lee; Chaoning Zhang; Hyundong Shin,2026-04-25T12:24:04Z,2026-04-25T12:24:04Z,cs.AI,LLMs_RAG,T002,Reasoning consistency in chain-of-thought prompting,http://arxiv.org/abs/2604.23270v1,all:reasoning AND all:consistency AND all:chain AND all:thought AND all:prompting
D0016,2511.07124v1,"Think Consistently, Reason Efficiently: Energy-Based Calibration for Implicit Chain-of-Thought","Large Language Models (LLMs) have demonstrated strong reasoning capabilities through \emph{Chain-of-Thought} (CoT) prompting, which enables step-by-step intermediate reasoning. However, explicit CoT methods rely on discrete token-level reasoning processes that are prone to error propagation and limited by vocabulary expressiveness, often resulting in rigid and inconsistent reasoning trajectories. Recent research has explored implicit or continuous reasoning in latent spaces, allowing models to perform internal reasoning before generating explicit output. Although such approaches alleviate some limitations of discrete CoT, they generally lack explicit mechanisms to enforce consistency among reasoning steps, leading to divergent reasoning paths and unstable outcomes. To address this issue, we propose EBM-CoT, an Energy-Based Chain-of-Thought Calibration framework that refines latent thought representations through an energy-based model (EBM). Our method dynamically adjusts latent reasoning trajectories toward lower-energy, high-consistency regions in the embedding space, improving both reasoning accuracy and consistency without modifying the base language model. Extensive experiments across mathematical, commonsense, and symbolic reasoning benchmarks demonstrate that the proposed framework significantly enhances the consistency and efficiency of multi-step reasoning in LLMs.",Zhikang Chen; Sen Cui; Deheng Ye; Yu Zhang; Yatao Bian; Tingting Zhu,2025-11-10T14:10:58Z,2025-11-10T14:10:58Z,cs.CL,LLMs_RAG,T002,Reasoning consistency in chain-of-thought prompting,http://arxiv.org/abs/2511.07124v1,all:reasoning AND all:consistency AND all:chain AND all:thought AND all:prompting
D0017,2401.10065v3,Code Prompting Elicits Conditional Reasoning Abilities in Text+Code LLMs,"Reasoning is a fundamental component of language understanding. Recent prompting techniques, such as chain of thought, have consistently improved LLMs' performance on various reasoning tasks. Nevertheless, there is still little understanding of what triggers reasoning abilities in LLMs in the inference stage. In this paper, we introduce code prompting, a chain of prompts that transforms a natural language problem into code and directly prompts the LLM using the generated code without resorting to external code execution. We hypothesize that code prompts can elicit certain reasoning capabilities of LLMs trained on text and code and utilize the proposed method to improve conditional reasoning, the ability to infer different conclusions depending on the fulfillment of certain conditions. We find that code prompting exhibits a high-performance boost for multiple LLMs (up to 22.52 percentage points on GPT 3.5, 7.75 on Mixtral, and 16.78 on Mistral) across multiple conditional reasoning datasets. We then conduct comprehensive experiments to understand how code prompts trigger reasoning abilities and which capabilities are elicited in the underlying models. Our analysis of GPT 3.5 reveals that the code formatting of the input problem is essential for performance improvement. Furthermore, code prompts improve sample efficiency of in-context learning and facilitate state tracking of variables or entities.",Haritz Puerto; Martin Tutek; Somak Aditya; Xiaodan Zhu; Iryna Gurevych,2024-01-18T15:32:24Z,2024-09-28T18:29:57Z,cs.CL,LLMs_RAG,T002,Reasoning consistency in chain-of-thought prompting,http://arxiv.org/abs/2401.10065v3,all:reasoning AND all:consistency AND all:chain AND all:thought AND all:prompting
D0018,2210.03493v1,Automatic Chain of Thought Prompting in Large Language Models,"Large language models (LLMs) can perform complex reasoning by generating intermediate reasoning steps. Providing these steps for prompting demonstrations is called chain-of-thought (CoT) prompting. CoT prompting has two major paradigms. One leverages a simple prompt like ""Let's think step by step"" to facilitate step-by-step thinking before answering a question. The other uses a few manual demonstrations one by one, each composed of a question and a reasoning chain that leads to an answer. The superior performance of the second paradigm hinges on the hand-crafting of task-specific demonstrations one by one. We show that such manual efforts may be eliminated by leveraging LLMs with the ""Let's think step by step"" prompt to generate reasoning chains for demonstrations one by one, i.e., let's think not just step by step, but also one by one. However, these generated chains often come with mistakes. To mitigate the effect of such mistakes, we find that diversity matters for automatically constructing demonstrations. We propose an automatic CoT prompting method: Auto-CoT. It samples questions with diversity and generates reasoning chains to construct demonstrations. On ten public benchmark reasoning tasks with GPT-3, Auto-CoT consistently matches or exceeds the performance of the CoT paradigm that requires manual designs of demonstrations. Code is available at https://github.com/amazon-research/auto-cot",Zhuosheng Zhang; Aston Zhang; Mu Li; Alex Smola,2022-10-07T12:28:21Z,2022-10-07T12:28:21Z,cs.CL,LLMs_RAG,T002,Reasoning consistency in chain-of-thought prompting,http://arxiv.org/abs/2210.03493v1,all:reasoning AND all:consistency AND all:chain AND all:thought AND all:prompting
D0019,2410.23856v1,Can Language Models Perform Robust Reasoning in Chain-of-thought Prompting with Noisy Rationales?,"This paper investigates an under-explored challenge in large language models (LLMs): chain-of-thought prompting with noisy rationales, which include irrelevant or inaccurate reasoning thoughts within examples used for in-context learning. We construct NoRa dataset that is tailored to evaluate the robustness of reasoning in the presence of noisy rationales. Our findings on NoRa dataset reveal a prevalent vulnerability to such noise among current LLMs, with existing robust methods like self-correction and self-consistency showing limited efficacy. Notably, compared to prompting with clean rationales, base LLM drops by 1.4%-19.8% in accuracy with irrelevant thoughts and more drastically by 2.2%-40.4% with inaccurate thoughts. Addressing this challenge necessitates external supervision that should be accessible in practice. Here, we propose the method of contrastive denoising with noisy chain-of-thought (CD-CoT). It enhances LLMs' denoising-reasoning capabilities by contrasting noisy rationales with only one clean rationale, which can be the minimal requirement for denoising-purpose prompting. This method follows a principle of exploration and exploitation: (1) rephrasing and selecting rationales in the input space to achieve explicit denoising and (2) exploring diverse reasoning paths and voting on answers in the output space. Empirically, CD-CoT demonstrates an average improvement of 17.8% in accuracy over the base model and shows significantly stronger denoising capabilities than baseline methods. The source code is publicly available at: https://github.com/tmlr-group/NoisyRationales.",Zhanke Zhou; Rong Tao; Jianing Zhu; Yiwen Luo; Zengmao Wang; Bo Han,2024-10-31T12:07:44Z,2024-10-31T12:07:44Z,cs.CL,LLMs_RAG,T002,Reasoning consistency in chain-of-thought prompting,http://arxiv.org/abs/2410.23856v1,all:reasoning AND all:consistency AND all:chain AND all:thought AND all:prompting
D0020,2305.04091v3,Plan-and-Solve Prompting: Improving Zero-Shot Chain-of-Thought Reasoning by Large Language Models,"Large language models (LLMs) have recently been shown to deliver impressive performance in various NLP tasks. To tackle multi-step reasoning tasks, few-shot chain-of-thought (CoT) prompting includes a few manually crafted step-by-step reasoning demonstrations which enable LLMs to explicitly generate reasoning steps and improve their reasoning task accuracy. To eliminate the manual effort, Zero-shot-CoT concatenates the target problem statement with ""Let's think step by step"" as an input prompt to LLMs. Despite the success of Zero-shot-CoT, it still suffers from three pitfalls: calculation errors, missing-step errors, and semantic misunderstanding errors. To address the missing-step errors, we propose Plan-and-Solve (PS) Prompting. It consists of two components: first, devising a plan to divide the entire task into smaller subtasks, and then carrying out the subtasks according to the plan. To address the calculation errors and improve the quality of generated reasoning steps, we extend PS prompting with more detailed instructions and derive PS+ prompting. We evaluate our proposed prompting strategy on ten datasets across three reasoning problems. The experimental results over GPT-3 show that our proposed zero-shot prompting consistently outperforms Zero-shot-CoT across all datasets by a large margin, is comparable to or exceeds Zero-shot-Program-of-Thought Prompting, and has comparable performance with 8-shot CoT prompting on the math reasoning problem. The code can be found at https://github.com/AGI-Edgerunners/Plan-and-Solve-Prompting.",Lei Wang; Wanyu Xu; Yihuai Lan; Zhiqiang Hu; Yunshi Lan; Roy Ka-Wei Lee; Ee-Peng Lim,2023-05-06T16:34:37Z,2023-05-26T07:06:48Z,cs.CL,LLMs_RAG,T002,Reasoning consistency in chain-of-thought prompting,http://arxiv.org/abs/2305.04091v3,all:reasoning AND all:consistency AND all:chain AND all:thought AND all:prompting
